Colombia, 50340000, 72.3, 4500000, 3500, 900, 15.7
Argentina, 46044703, 88.6, 1400000, 4200, 150, 32.1
Bolivia, 11216000, 61.9, 1600000, 1021, 400, 9.7
Chile, 17574003, 92.6, 958100, 3200, 98, 48.9
Venezuela, 32605423, 24.5, 10800000, 1207, 2100, 14.8
Haití, 11488792, 16.3, 950000, 420, 950, 5.2
Uruguay, 3286314, 97.9, 410, 3130, 45, 21.4
Costa Rica, 5100000, 94.7, 280000, 900, 240, 11.3
Cuba, 11200000, 89.1, 400000, 700, 250, 13.3
Ecuador, 17800000, 79.6, 1100000, 1650, 380, 14.2
El Salvador, 6300000, 86.8, 600000, 619, 320, 9.2
Guatemala, 17100000, 72.9, 7200000, 1300, 430, 12.3
Honduras, 10200000, 76.2, 900000, 1716, 320, 11.3
México, 126200000, 89.9, 9300000, 4900, 1230, 16.2
Nicaragua, 6850000, 66.5, 740000, 1343, 410, 10.6
Panamá, 4350000, 92.3, 380000, 209, 89, 17.1
Paraguay, 6700000, 68.4, 1200000, 217, 98, 11.2
Perú, 33700000, 84.7, 1700000, 3807, 1230, 16.0
República Dominicana, 11100000, 81.5, 960000, 960, 287, 13.9
Guayana Francesa, 300000, 88.7, 30000, 40, 23, 7.3
Brasil, 215313498, 69.2, 15000956, 5210, 1405, 13.9
